phase	positive_probability	sign_agreement	magnitude_sigma	magnitude_rho	center_sd	center_rho	dyadic_weight	dyadic_rho	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	median_p_value	mean_observed_profile_weight	mean_realized_sign_agreement	mean_realized_positive_probability	mean_realized_log_radius_sd	mean_realized_log_radius_correlation	mean_realized_center_correlation
seed2	0.7	0.75	0.35	0.55	1.0	0.8	0.15	0.5	mantel	400	199	0.8325	0.7927798983351753	0.8658944259325176	0.005	0.5811523602678307	0.7460833333333332	0.7003333333333334	0.3465383560720325	0.5537451013676872	0.7511763401719216
seed2	0.7	0.75	0.35	0.55	1.0	0.8	0.15	0.5	naive_selected	400	199	0.7475	0.7027083556965948	0.7875830586079285	0.015	0.5811523602678307	0.7460833333333332	0.7003333333333334	0.3465383560720325	0.5537451013676872	0.7511763401719216
seed2	0.7	0.75	0.35	0.55	1.0	0.8	0.15	0.5	nested_max	400	199	0.69	0.643049046352087	0.7333362818008802	0.02	0.5811523602678307	0.7460833333333332	0.7003333333333334	0.3465383560720325	0.5537451013676872	0.7511763401719216
seed2	0.7	0.75	0.35	0.55	1.0	0.8	0.15	0.5	cv_retrained	400	199	0.7575	0.7131775779269679	0.7969235904908692	0.01	0.5811523602678307	0.7460833333333332	0.7003333333333334	0.3465383560720325	0.5537451013676872	0.7511763401719216
seed2	0.7	0.75	0.35	0.55	1.0	0.8	0.15	0.5	cv_frozen	400	199	0.7825	0.7394871744110122	0.8201383792901101	0.01	0.5811523602678307	0.7460833333333332	0.7003333333333334	0.3465383560720325	0.5537451013676872	0.7511763401719216
seed2	0.7	0.75	0.85	0.55	0.0	0.8	0.15	0.5	profile	400	199	0.7025	0.6559450648860605	0.7452024559085495	0.02	0.5730690868127664	0.7475416666666667	0.7010624999999999	0.8337194765151006	0.5358488005039409	0.7844680938898472
seed2	0.7	0.75	0.85	0.55	0.0	0.8	0.15	0.5	mantel	400	199	0.7425	0.697484812382584	0.7829017248652822	0.01	0.5730690868127664	0.7475416666666667	0.7010624999999999	0.8337194765151006	0.5358488005039409	0.7844680938898472
seed2	0.7	0.75	0.85	0.55	0.0	0.8	0.15	0.5	naive_selected	400	199	0.7125	0.6662901779980862	0.7546670969098378	0.02	0.5730690868127664	0.7475416666666667	0.7010624999999999	0.8337194765151006	0.5358488005039409	0.7844680938898472
seed2	0.7	0.75	0.85	0.55	0.0	0.8	0.15	0.5	nested_max	400	199	0.705	0.658528950995276	0.7475710083276624	0.02	0.5730690868127664	0.7475416666666667	0.7010624999999999	0.8337194765151006	0.5358488005039409	0.7844680938898472
seed2	0.7	0.75	0.85	0.55	0.0	0.8	0.15	0.5	cv_retrained	400	199	0.79	0.7474205944599498	0.8270622748261584	0.0125	0.5730690868127664	0.7475416666666667	0.7010624999999999	0.8337194765151006	0.5358488005039409	0.7844680938898472
seed2	0.7	0.75	0.85	0.55	0.0	0.8	0.15	0.5	cv_frozen	400	199	0.79	0.7474205944599498	0.8270622748261584	0.01	0.5730690868127664	0.7475416666666667	0.7010624999999999	0.8337194765151006	0.5358488005039409	0.7844680938898472
seed2	0.7	0.75	0.85	0.55	1.0	0.8	0.15	0.5	profile	400	199	0.6675	0.6199313395835853	0.7118820418144254	0.02	0.5534545838954492	0.7538333333333332	0.70125	0.8395993869867001	0.5485841644297458	0.7585625381653825
seed2	0.7	0.75	0.85	0.55	1.0	0.8	0.15	0.5	mantel	400	199	0.7825	0.7394871744110122	0.8201383792901101	0.005	0.5534545838954492	0.7538333333333332	0.70125	0.8395993869867001	0.5485841644297458	0.7585625381653825
seed2	0.7	0.75	0.85	0.55	1.0	0.8	0.15	0.5	naive_selected	400	199	0.735	0.6896629392432349	0.7758662824196457	0.015	0.5534545838954492	0.7538333333333332	0.70125	0.8395993869867001	0.5485841644297458	0.7585625381653825
seed2	0.7	0.75	0.85	0.55	1.0	0.8	0.15	0.5	nested_max	400	199	0.685	0.637901366761192	0.7285790843351184	0.015	0.5534545838954492	0.7538333333333332	0.70125	0.8395993869867001	0.5485841644297458	0.7585625381653825
