phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.275	0.725	400	199	0.3975	0.37	0.0275	0.01817098888593386	-0.008115138216430364	0.06311513821643036	32	21	127	220	0.0
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.3	0.7	400	199	0.35	0.3525	-0.0025	0.017160144270327284	-0.036133882769841474	0.031133882769841473	23	24	117	236	0.0
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.325	0.675	400	199	0.3175	0.3425	-0.025	0.01496654581840232	-0.05433442980406855	0.004334429804068545	13	23	114	250	0.0
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.35	0.65	400	199	0.285	0.3175	-0.0325	0.014719069349190036	-0.061349375924412475	-0.003650624075587531	11	24	103	262	0.0
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.375	0.625	400	199	0.26	0.2975	-0.0375	0.015109769615868126	-0.06711514844710152	-0.007884851552898472	11	26	93	270	0.0
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.4	0.6	400	199	0.2475	0.29	-0.0425	0.015486573536445994	-0.07285368413143414	-0.012146315868565856	11	28	88	273	0.0
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.425	0.575	400	199	0.23	0.285	-0.055	0.01598675830500846	-0.08633404627781657	-0.02366595372218342	10	32	82	276	0.0
refined	0.75	0.45	1.6666666666666665	2.007333433663095	0.45	0.55	400	199	0.21	0.28	-0.07	0.01661143731361197	-0.10255841713467947	-0.037441582865320545	9	37	75	279	0.0
refined	0.75	0.65	1.1538461538461537	1.2549422135494461	0.2	0.8	400	199	0.5475	0.535	0.0125	0.021377602290697805	-0.029400100489767694	0.05440010048976769	39	34	180	147	0.0
refined	0.75	0.65	1.1538461538461537	1.2549422135494461	0.225	0.775	400	199	0.4975	0.485	0.0125	0.021955968125793316	-0.0305336975265549	0.055533697526554904	41	36	158	165	0.0
