seed	n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high
20260821	20	null_contam_p10	cap_6.5	1200	499	64	0.05333333333333334	0.04198595756592827	0.06753133630584826
20260821	20	null_contam_p10	cap_7	1200	499	63	0.0525	0.041248404856606004	0.06660754068284175
20260821	20	null_contam_p10	cap_8	1200	499	62	0.051666666666666666	0.04051171663917239	0.06568288056794659
20260821	20	matched_p01_m8	uncapped	1200	499	1091	0.9091666666666667	0.8915752556961698	0.9241467754772588
20260821	20	matched_p01_m8	cap_4.5	1200	499	1019	0.8491666666666666	0.8278051745786309	0.8682997766671258
20260821	20	matched_p01_m8	cap_5	1200	499	1049	0.8741666666666666	0.8541994908322308	0.8917459103833891
20260821	20	matched_p01_m8	cap_5.5	1200	499	1071	0.8925	0.8737054332011761	0.9087896313256768
20260821	20	matched_p01_m8	cap_6	1200	499	1080	0.9	0.8817289167132706	0.9157182828045415
20260821	20	matched_p01_m8	cap_6.5	1200	499	1084	0.9033333333333333	0.8853040824794528	0.9187885103676742
20260821	20	matched_p01_m8	cap_7	1200	499	1088	0.9066666666666666	0.8888852581100046	0.9218527280664375
20260821	20	matched_p01_m8	cap_8	1200	499	1091	0.9091666666666667	0.8915752556961698	0.9241467754772588
20260821	20	t2_matched	uncapped	1200	499	553	0.4608333333333333	0.4328003546169163	0.48911627376363115
20260821	20	t2_matched	cap_4.5	1200	499	447	0.3725	0.34559308359205254	0.40022062156164473
20260821	20	t2_matched	cap_5	1200	499	492	0.41	0.3825025625791685	0.43807181752932367
20260821	20	t2_matched	cap_5.5	1200	499	514	0.42833333333333334	0.4006082542463163	0.45651578917340896
20260821	20	t2_matched	cap_6	1200	499	533	0.44416666666666665	0.41627644309744155	0.47241321863653035
20260821	20	t2_matched	cap_6.5	1200	499	542	0.45166666666666666	0.4237082783113904	0.47993351841354054
20260821	20	t2_matched	cap_7	1200	499	549	0.4575	0.4294930377227926	0.4857781973284398
20260821	20	t2_matched	cap_8	1200	499	563	0.4691666666666667	0.44107416788132925	0.497455943822506
20260821	20	diffuse_aligned	uncapped	1200	499	736	0.6133333333333333	0.585459974381909	0.6404833988148043
20260821	20	diffuse_aligned	cap_4.5	1200	499	734	0.6116666666666667	0.5837769564200789	0.6388437201119771
20260821	20	diffuse_aligned	cap_5	1200	499	736	0.6133333333333333	0.585459974381909	0.6404833988148043
20260821	20	diffuse_aligned	cap_5.5	1200	499	736	0.6133333333333333	0.585459974381909	0.6404833988148043
20260821	20	diffuse_aligned	cap_6	1200	499	736	0.6133333333333333	0.585459974381909	0.6404833988148043
