scenario	method	n	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation
matched_p01_m8	huber_soft6	80	300	199	295	0.9833333333333333	0.9615846051669054	0.9928605226493666	0.42367434980809776
matched_p01_m8	huber_soft8	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.5027180656787429
matched_p01_m8	trim5	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.640419847522255
matched_p01_m8	trim10	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6400794511541761
matched_p01_m8	trim20	80	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6391471995525444
t2_matched	huber_c1.0	80	300	199	222	0.74	0.6875519770721528	0.7863793967400652	0.36404491346897394
t2_matched	huber_c1.345	80	300	199	225	0.75	0.6980484035459826	0.7956301108417443	0.3632496412685642
t2_matched	huber_c2.0	80	300	199	221	0.7366666666666667	0.6840604965627417	0.7832884970576399	0.36121133890297225
t2_matched	huber_c3.0	80	300	199	217	0.7233333333333334	0.6701300560341223	0.7708894168189138	0.35743197844632346
t2_matched	huber_cap3	80	300	199	209	0.6966666666666667	0.642431561442127	0.7459288698762181	0.24766325357498759
t2_matched	huber_cap4	80	300	199	280	0.9333333333333333	0.899276940483885	0.9564324844548417	0.336583889554069
t2_matched	huber_cap6	80	300	199	299	0.9966666666666667	0.9813633063054688	0.9994113422781488	0.44406543771120655
t2_matched	huber_cap8	80	300	199	295	0.9833333333333333	0.9615846051669054	0.9928605226493666	0.44729254733342144
t2_matched	huber_soft3	80	300	199	252	0.84	0.7942563251514081	0.8771464544159004	0.28862855762388584
t2_matched	huber_soft4	80	300	199	287	0.9566666666666667	0.9272825343659885	0.9745035519155927	0.3440809203748102
t2_matched	huber_soft6	80	300	199	295	0.9833333333333333	0.9615846051669054	0.9928605226493666	0.39411974782326264
t2_matched	huber_soft8	80	300	199	293	0.9766666666666667	0.9526280277317246	0.9886523397008747	0.40762817856261774
t2_matched	trim5	80	300	199	218	0.7266666666666667	0.6736074258805683	0.7739944271643041	0.3559609491781732
t2_matched	trim10	80	300	199	225	0.75	0.6980484035459826	0.7956301108417443	0.36192502358978507
t2_matched	trim20	80	300	199	227	0.7566666666666667	0.7050648160221181	0.8017784587492817	0.36423411010598433
bimodal_aligned	huber_c1.0	80	300	199	276	0.92	0.8837267595665261	0.9456531446048553	0.8696639597106594
bimodal_aligned	huber_c1.345	80	300	199	273	0.91	0.8722229892013517	0.9374097743945206	0.7905393582343453
