n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation	median_p_value
80	null_contam_p01	iqr_fit_all	300	199	8	0.02666666666666667	0.01357306980864708	0.05172894295058982	-0.01066599539712028	0.5525
80	null_contam_p01	trim10_fit_all	300	199	8	0.02666666666666667	0.01357306980864708	0.05172894295058982	-0.010709697056614292	0.5375000000000001
80	null_contam_p01	huber_fit_all	300	199	8	0.02666666666666667	0.01357306980864708	0.05172894295058982	-0.010667689164326494	0.5275000000000001
80	null_contam_p01	iqr_capped3	300	199	12	0.04	0.023027321487942308	0.06860421203864003	-0.01521409034259219	0.57
80	null_contam_p01	huber_capped3	300	199	17	0.056666666666666664	0.03567747646328951	0.08886595802247463	-0.014825370881426388	0.575
80	null_contam_p05	original_l2	300	199	16	0.05333333333333334	0.03309191251909646	0.08486914177483133	0.004652198884067843	0.5075000000000001
80	null_contam_p05	iqr_fit_all	300	199	20	0.06666666666666667	0.043567515545158274	0.10072305951611496	0.005030378861240539	0.5375000000000001
80	null_contam_p05	trim10_fit_all	300	199	20	0.06666666666666667	0.043567515545158274	0.10072305951611496	0.0049901908494904895	0.51
80	null_contam_p05	huber_fit_all	300	199	21	0.07	0.046236944827176336	0.10463601042593323	0.00500648650901054	0.525
80	null_contam_p05	iqr_capped3	300	199	20	0.06666666666666667	0.043567515545158274	0.10072305951611496	0.006327930825262974	0.495
80	null_contam_p05	huber_capped3	300	199	22	0.07333333333333333	0.04892399383922859	0.10853134160571733	0.006511168759028349	0.495
80	null_contam_p10	original_l2	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	0.0064415031782979705	0.4925
80	null_contam_p10	iqr_fit_all	300	199	12	0.04	0.023027321487942308	0.06860421203864003	0.007889499701193906	0.4675
80	null_contam_p10	trim10_fit_all	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.0075098357886470195	0.4725
80	null_contam_p10	huber_fit_all	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.007505571382323672	0.47
80	null_contam_p10	iqr_capped3	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	0.009292551083557378	0.47
80	null_contam_p10	huber_capped3	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.00789977835261586	0.4625
80	matched_p01_m8	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.7942130197777679	0.01
80	matched_p01_m8	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6375512781024804	0.01
80	matched_p01_m8	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6352120158276656	0.01
80	matched_p01_m8	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6351854081914122	0.01
80	matched_p01_m8	iqr_capped3	300	199	84	0.28	0.23221902212795326	0.33334388521084696	0.14347410498686833	0.11
80	matched_p01_m8	huber_capped3	300	199	93	0.31	0.26034352510199493	0.3644608039633325	0.14958301664583723	0.1
80	matched_p05_m8	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.921968100244557	0.005
80	matched_p05_m8	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8677772833608143	0.005
80	matched_p05_m8	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8638395766091386	0.005
80	matched_p05_m8	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8638025904730563	0.005
80	matched_p05_m8	iqr_capped3	300	199	295	0.9833333333333333	0.9615846051669054	0.9928605226493666	0.40446050098689557	0.005
80	matched_p05_m8	huber_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.4464506262113583	0.005
80	diffuse_aligned	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.744047847052162	0.005
80	diffuse_aligned	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.7481137250971209	0.005
80	diffuse_aligned	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.7097349719912966	0.005
80	diffuse_aligned	huber_fit_all	300	199	299	0.9966666666666667	0.9813633063054688	0.9994113422781488	0.7168575231641722	0.005
80	diffuse_aligned	iqr_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.7481137250971209	0.005
80	diffuse_aligned	huber_capped3	300	199	298	0.9933333333333333	0.9760224167496929	0.998169851642088	0.7168575231641722	0.005
80	t2_matched	original_l2	300	199	221	0.7366666666666667	0.6840604965627417	0.7832884970576399	0.38969361548406084	0.01
80	t2_matched	iqr_fit_all	300	199	248	0.8266666666666667	0.7797738592974309	0.8652993995025323	0.39750261274768955	0.005
80	t2_matched	trim10_fit_all	300	199	243	0.81	0.7617962081751881	0.8503651496655933	0.39128403585968263	0.005
80	t2_matched	huber_fit_all	300	199	251	0.8366666666666667	0.7906268325698749	0.8741935668055973	0.3925465823162519	0.005
80	t2_matched	iqr_capped3	300	199	160	0.5333333333333333	0.4768149075854061	0.5890088943329576	0.20930858207120082	0.04
80	t2_matched	huber_capped3	300	199	212	0.7066666666666667	0.6527939127218992	0.755313659171955	0.25212020468435925	0.02
80	skewed_aligned	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9855747484409938	0.005
80	skewed_aligned	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9765816438296034	0.005
80	skewed_aligned	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.976842639257379	0.005
80	skewed_aligned	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9769577175927282	0.005
80	skewed_aligned	iqr_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9477493598241491	0.005
80	skewed_aligned	huber_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9530296311037904	0.005
80	bimodal_aligned	original_l2	300	199	207	0.69	0.6355391960366674	0.739656474898005	0.3685245231551513	0.005
80	bimodal_aligned	iqr_fit_all	300	199	210	0.7	0.6458824752950584	0.749060336215123	0.36601276857831894	0.005
80	bimodal_aligned	trim10_fit_all	300	199	225	0.75	0.6980484035459826	0.7956301108417443	0.4344214382873825	0.005
80	bimodal_aligned	huber_fit_all	300	199	272	0.9066666666666666	0.8684146029829267	0.934635780421109	0.7950395267034266	0.005
80	bimodal_aligned	iqr_capped3	300	199	212	0.7066666666666667	0.6527939127218992	0.755313659171955	0.36601276857831894	0.005
80	bimodal_aligned	huber_capped3	300	199	271	0.9033333333333333	0.8646182980304887	0.9318497051817106	0.7948264460757132	0.005
80	unmatched_masking	original_l2	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.0426499836015644	0.18
80	unmatched_masking	iqr_fit_all	300	199	19	0.06333333333333334	0.040916882383915276	0.09679131248552161	0.07866115888433386	0.155
80	unmatched_masking	trim10_fit_all	300	199	24	0.08	0.054346855395144764	0.11627324043347391	0.07681986396430271	0.155
80	unmatched_masking	huber_fit_all	300	199	22	0.07333333333333333	0.04892399383922859	0.10853134160571733	0.07697075094536264	0.165
80	unmatched_masking	iqr_capped3	300	199	80	0.26666666666666666	0.21980599244000376	0.31942739413145094	0.13278477886139242	0.135
80	unmatched_masking	huber_capped3	300	199	86	0.2866666666666667	0.23844603884969776	0.3402816288727752	0.15243115476230876	0.10250000000000001
160	null_clean	original_l2	300	199	8	0.02666666666666667	0.01357306980864708	0.05172894295058982	-0.007197180587138563	0.5525
160	null_clean	iqr_fit_all	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	-0.004772129165639463	0.5275000000000001
160	null_clean	trim10_fit_all	300	199	12	0.04	0.023027321487942308	0.06860421203864003	-0.0046883016471133635	0.5225
160	null_clean	huber_fit_all	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	-0.004672721220399475	0.5225
160	null_clean	iqr_capped3	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	-0.004777840879245596	0.54
160	null_clean	huber_capped3	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	-0.004691728733007103	0.54
160	null_contam_p01	original_l2	300	199	18	0.06	0.038286369524692054	0.09283944515290843	0.0010816341118254568	0.485
160	null_contam_p01	iqr_fit_all	300	199	18	0.06	0.038286369524692054	0.09283944515290843	0.0007268130258696889	0.4625
160	null_contam_p01	trim10_fit_all	300	199	19	0.06333333333333334	0.040916882383915276	0.09679131248552161	0.0009127099578818674	0.475
160	null_contam_p01	huber_fit_all	300	199	19	0.06333333333333334	0.040916882383915276	0.09679131248552161	0.0009004901488204105	0.4875
160	null_contam_p01	iqr_capped3	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	-0.002795889936351094	0.4875
160	null_contam_p01	huber_capped3	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	-0.002421105073157566	0.495
160	null_contam_p05	original_l2	300	199	13	0.043333333333333335	0.025496448084407246	0.07271746563401146	0.004346488092823741	0.4575
160	null_contam_p05	iqr_fit_all	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.0038399991436164726	0.4825
160	null_contam_p05	trim10_fit_all	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.004084554573886643	0.4875
160	null_contam_p05	huber_fit_all	300	199	15	0.05	0.03053164062934728	0.08084703347274415	0.004081260154953552	0.47250000000000003
160	null_contam_p05	iqr_capped3	300	199	20	0.06666666666666667	0.043567515545158274	0.10072305951611496	0.0020333530182796784	0.485
160	null_contam_p05	huber_capped3	300	199	21	0.07	0.046236944827176336	0.10463601042593323	0.003625629066563975	0.475
160	null_contam_p10	original_l2	300	199	15	0.05	0.03053164062934728	0.08084703347274415	-0.009133963607783666	0.58
160	null_contam_p10	iqr_fit_all	300	199	17	0.056666666666666664	0.03567747646328951	0.08886595802247463	-0.008923575932028544	0.565
160	null_contam_p10	trim10_fit_all	300	199	15	0.05	0.03053164062934728	0.08084703347274415	-0.00887637500560168	0.565
