n	replication	root_seed	truth	method	estimate	se	z	covered	coefficient_x	coefficient_y	error
160	31	2026090701	0.19347511885804566	complete_kde	0.5115853496421869	0.1190780248869843	2.6714436277059206	0	-0.12925664958274882	0.014022179046652594	
160	31	2026090701	0.19347511885804566	direct_only_ablation	0.5115853496421866	0.1194048494106852	2.6641315855608303	0	-0.12925664958274882	0.014022179046652594	
160	31	2026090701	0.19347511885804566	oracle_fixed_reference	0.5176935623187237	0.11518285090354666	2.814815234363111	0	-0.12925664958274882	0.014022179046652594	
160	32	2026090701	0.19347511885804566	complete_kde	-0.02970025572537336	0.07123180057060166	-3.1330862451275245	0	-0.06584403304077308	-0.3892154614339285	
160	32	2026090701	0.19347511885804566	direct_only_ablation	-0.029700255725373607	0.06784498504251535	-3.2894896276204566	0	-0.06584403304077308	-0.3892154614339285	
160	32	2026090701	0.19347511885804566	oracle_fixed_reference	-0.02435774470547196	0.06392818852553281	-3.407461850362232	0	-0.06584403304077308	-0.3892154614339285	
160	33	2026090701	0.19347511885804566	complete_kde	0.22967789944368222	0.1262169821216563	0.2868297116369168	1	-0.16725012513900722	-0.06196234604737681	
160	33	2026090701	0.19347511885804566	direct_only_ablation	0.2296778994436822	0.12619836227133352	0.28687203172889464	1	-0.16725012513900722	-0.06196234604737681	
160	33	2026090701	0.19347511885804566	oracle_fixed_reference	0.2351409950675718	0.12493754811103969	0.3334936281324739	1	-0.16725012513900722	-0.06196234604737681	
160	34	2026090701	0.19347511885804566	complete_kde	0.32707384709358456	0.13439409165217459	0.9940818572687393	1	-0.13744010343064242	-0.03426221393018161	
160	34	2026090701	0.19347511885804566	direct_only_ablation	0.3270738470935845	0.1348275312376694	0.9908861121252418	1	-0.13744010343064242	-0.03426221393018161	
160	34	2026090701	0.19347511885804566	oracle_fixed_reference	0.3274191303173475	0.134958750669685	0.9924811158568979	1	-0.13744010343064242	-0.03426221393018161	
160	35	2026090701	0.19347511885804566	complete_kde	0.29277777640640135	0.15342213854650985	0.6472511626361676	1	-0.10720495502747013	-0.10762273296755134	
160	35	2026090701	0.19347511885804566	direct_only_ablation	0.2927777764064014	0.1540471293209321	0.6446251740366731	1	-0.10720495502747013	-0.10762273296755134	
160	35	2026090701	0.19347511885804566	oracle_fixed_reference	0.29208167688365677	0.1545905644190106	0.637856252069451	1	-0.10720495502747013	-0.10762273296755134	
160	36	2026090701	0.19347511885804566	complete_kde	0.21539599392894446	0.07710570528741315	0.28429640827728986	1	-0.29642302752439886	-0.21292802804477742	
160	36	2026090701	0.19347511885804566	direct_only_ablation	0.21539599392894473	0.07308458085291952	0.2999384386566321	1	-0.29642302752439886	-0.21292802804477742	
160	36	2026090701	0.19347511885804566	oracle_fixed_reference	0.24457056207283653	0.07175902790592668	0.7120420204378329	1	-0.29642302752439886	-0.21292802804477742	
160	37	2026090701	0.19347511885804566	complete_kde	0.11924813383853532	0.07992587322062973	-0.9286978299831895	1	-0.446378968355162	-0.19619130500724985	
160	37	2026090701	0.19347511885804566	direct_only_ablation	0.11924813383853528	0.07350822267627972	-1.0097779856057192	1	-0.446378968355162	-0.19619130500724985	
160	37	2026090701	0.19347511885804566	oracle_fixed_reference	0.12797406853901777	0.07336228727348441	-0.8928436224302696	1	-0.446378968355162	-0.19619130500724985	
