phase	dyadic_weight	node_weight	method	n	n_blocks	rooms_per_block	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_statistic	median_p_value	maximum_huber_cdelta_pearson_p_difference
coarse	0.8	0.19999999999999996	huber_cdelta_star	48	4	12	500	199	0.4	0.35797899079473766	0.44354587729757294	1.2575365784873824	0.075	0.0
coarse	0.8	0.19999999999999996	huber_profile_pearson	48	4	12	500	199	0.4	0.35797899079473766	0.44354587729757294	0.3752216492222831	0.075	0.0
coarse	0.8	0.19999999999999996	huber_cap6_cdelta_star	48	4	12	500	199	0.4	0.35797899079473766	0.44354587729757294	1.2574824258301556	0.075	0.0
coarse	0.8	0.19999999999999996	mantel	48	4	12	500	199	0.732	0.6915162794621877	0.768946026563652	0.3289308289031153	0.01	0.0
coarse	0.9	0.09999999999999998	original_l2_cdelta	48	4	12	500	199	0.512	0.46826225284987066	0.5555547629790522	1.0493191209376442	0.045	0.0
coarse	0.9	0.09999999999999998	huber_cdelta_star	48	4	12	500	199	0.574	0.5302541759784422	0.616617421633248	1.3025612898145273	0.0325	0.0
coarse	0.9	0.09999999999999998	huber_profile_pearson	48	4	12	500	199	0.574	0.5302541759784422	0.616617421633248	0.43633052002293854	0.0325	0.0
coarse	0.9	0.09999999999999998	huber_cap6_cdelta_star	48	4	12	500	199	0.572	0.5282438503629422	0.6146582446105943	1.3023972807435622	0.0325	0.0
coarse	0.9	0.09999999999999998	mantel	48	4	12	500	199	0.856	0.8225095437017246	0.8840619258896502	0.39425937343131734	0.005	0.0
coarse	1.0	0.0	original_l2_cdelta	48	4	12	500	199	0.682	0.6399250012484168	0.7212997388235782	1.057307363758317	0.02	0.0
coarse	1.0	0.0	huber_cdelta_star	48	4	12	500	199	0.75	0.7102363265170449	0.785951503252179	1.3523103347530119	0.015	0.0
coarse	1.0	0.0	huber_profile_pearson	48	4	12	500	199	0.75	0.7102363265170449	0.785951503252179	0.5189391948772427	0.015	0.0
coarse	1.0	0.0	huber_cap6_cdelta_star	48	4	12	500	199	0.75	0.7102363265170449	0.785951503252179	1.3522359339426748	0.015	0.0
coarse	1.0	0.0	mantel	48	4	12	500	199	0.956	0.9342805571276716	0.9707660443713928	0.4795594650232382	0.005	0.0
