design	scenario	strength	n_perm	repetitions	omnibus_reject_count	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject
severely_unequal	dyadic	1.4	199	100	28	0.28	0.20139685211186212	0.3748802870992116	0.19	0.32	0.32	0.03999999999999998	0.16	0.28	0.16	0.84	0.8287666653713139	1.42765984387813	0.0	0.12	0.16	0.72	0.98	0.94	0.93	0.0	0.42857142857142855	0.5714285714285714	0.0
severely_unequal	dyadic	1.4	499	100	31	0.31	0.22779697212376038	0.40626055719489407	0.19	0.36	0.36	0.04999999999999999	0.18	0.31	0.14	0.86	0.839151947229782	1.4556997518330785	0.0	0.13	0.18	0.69	1.0	0.99	0.98	0.0	0.41935483870967744	0.5806451612903226	0.0
severely_unequal	dyadic	1.4	999	100	30	0.3	0.2189488529493276	0.3958485463334666	0.19	0.36	0.36	0.06	0.17	0.3	0.14	0.86	0.8378392960940805	1.4546136156868226	0.0	0.13	0.17	0.7	1.0	1.0	1.0	0.0	0.43333333333333335	0.5666666666666667	0.0
severely_unequal	mixed_covariate	0.6	199	100	27	0.27	0.1926958414957634	0.36432116767944994	0.28	0.26	0.28	0.009999999999999995	0.21000000000000005	0.25	0.45	nan	0.9427686938298723	1.0277088022604546	0.02	0.06	0.19	0.73	0.99	0.96	0.91	0.07407407407407407	0.2222222222222222	0.7037037037037037	0.0
severely_unequal	mixed_covariate	0.6	499	100	29	0.29	0.2101483574912227	0.3853889117557111	0.27	0.27	0.28	-0.009999999999999981	0.21	0.25	0.45	nan	0.9362561963904109	1.0290226371598703	0.04	0.08	0.17	0.71	0.99	1.0	0.98	0.13793103448275862	0.27586206896551724	0.5862068965517241	0.0
severely_unequal	mixed_covariate	0.6	999	100	29	0.29	0.2101483574912227	0.3853889117557111	0.31	0.28	0.31	0.020000000000000004	0.23	0.25	0.46	nan	0.9325740570386831	1.0222458152429414	0.04	0.06	0.19	0.71	1.0	1.0	1.0	0.13793103448275862	0.20689655172413793	0.6551724137931034	0.0
severely_unequal	mixed_covariate	1.0	199	100	54	0.54	0.44264860323368227	0.6343919169097589	0.5	0.57	0.57	0.030000000000000027	0.38	0.51	0.32	nan	1.706017777645023	1.9387201814915012	0.03	0.16	0.35	0.46	0.94	0.95	0.89	0.05555555555555555	0.2962962962962963	0.6481481481481481	0.0
severely_unequal	mixed_covariate	1.0	499	100	57	0.57	0.47215389549212305	0.6626670147588988	0.5	0.6	0.6	0.029999999999999975	0.44	0.56	0.3	nan	1.7270677051566843	1.9703820585052125	0.01	0.13	0.43	0.43	0.98	0.98	0.95	0.017543859649122806	0.22807017543859648	0.7543859649122807	0.0
severely_unequal	mixed_covariate	1.0	999	100	55	0.55	0.45244602997442135	0.6438546202048803	0.51	0.58	0.58	0.030000000000000027	0.45	0.53	0.28	nan	1.7283470077740475	1.9713109353006835	0.02	0.1	0.43	0.45	1.0	1.0	1.0	0.03636363636363636	0.18181818181818182	0.7818181818181819	0.0
severely_unequal	mixed_covariate	1.4	199	100	73	0.73	0.6356788323205499	0.8073041585042365	0.7	0.73	0.73	-5.551115123125783e-17	0.64	0.69	0.25	nan	2.3497833897961593	2.7068481473018164	0.04	0.09	0.6	0.27	0.98	0.93	0.91	0.0547945205479452	0.1232876712328767	0.821917808219178	0.0
severely_unequal	mixed_covariate	1.4	499	100	75	0.75	0.656955364519384	0.8245478863771232	0.68	0.76	0.76	0.010000000000000009	0.66	0.71	0.27	nan	2.3697878239686907	2.7343791198923486	0.04	0.09	0.62	0.25	1.0	0.95	0.94	0.05333333333333334	0.12	0.8266666666666667	0.0
