kind	scale_design	df_label	n	k_extremes	magnitude	repetition	matched_c_delta	matched_correlation	matched_p_value	independent_null_c_delta	independent_null_correlation	independent_null_p_value
l2	common_scale_parameter	normal	80	2	8.0	149	1.2217582	0.89857612	0.00333333	0.98028333	-0.07950366	0.95
l2	common_scale_parameter	normal	80	2	8.0	150	1.22598882	0.89446847	0.00333333	0.99787397	-0.00784991	0.35333333
l2	common_scale_parameter	normal	80	2	8.0	151	1.22332454	0.87132247	0.00333333	0.99652796	-0.01390056	0.39
l2	common_scale_parameter	normal	80	2	8.0	152	1.21038762	0.87673175	0.00333333	0.97850751	-0.08320866	0.95666667
l2	common_scale_parameter	normal	80	2	8.0	153	1.22457876	0.91424716	0.00333333	1.10099727	0.41430331	0.06333333
l2	common_scale_parameter	normal	80	2	8.0	154	1.21374901	0.89677241	0.00333333	0.99226993	-0.03144053	0.57333333
l2	common_scale_parameter	normal	80	2	8.0	155	1.24209656	0.87072737	0.00333333	0.98413189	-0.05752972	0.73
l2	common_scale_parameter	normal	80	2	8.0	156	1.21935304	0.85216396	0.00333333	0.97949433	-0.09057999	0.93
l2	common_scale_parameter	normal	80	2	8.0	157	1.25722659	0.91694752	0.00333333	1.02915818	0.12621717	0.06
l2	common_scale_parameter	normal	80	2	8.0	158	1.23417267	0.91085922	0.00333333	1.00198667	0.00812709	0.32
l2	common_scale_parameter	normal	80	2	8.0	159	1.22571479	0.88860808	0.00333333	1.0038768	0.01372861	0.20333333
l2	common_scale_parameter	normal	80	2	8.0	160	1.21110281	0.88385153	0.00333333	0.98735555	-0.04940265	0.70333333
l2	common_scale_parameter	normal	80	2	8.0	161	1.20565982	0.89061937	0.00333333	1.00114074	0.00455081	0.28666667
l2	common_scale_parameter	normal	80	2	8.0	162	1.20115013	0.89385521	0.00333333	0.99177572	-0.03081238	0.60333333
l2	common_scale_parameter	normal	80	2	8.0	163	1.20807044	0.87060357	0.00333333	0.99918931	-0.0035897	0.36
l2	common_scale_parameter	normal	80	2	8.0	164	1.2216683	0.90279724	0.00333333	1.11413758	0.42626561	0.04
l2	common_scale_parameter	normal	80	2	8.0	165	1.19568716	0.83539364	0.00333333	0.99865352	-0.0053201	0.35333333
l2	common_scale_parameter	normal	80	2	8.0	166	1.21570636	0.90157883	0.00333333	0.99446866	-0.02092443	0.38
l2	common_scale_parameter	normal	80	2	8.0	167	1.22716756	0.92061485	0.00333333	0.98673899	-0.05382919	0.73666667
