target_corr	kind	background	n	k_extremes	scenario	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
0.25	l2	lognormal	160	2	matched	4.0	0.231	0.8759	0.05	220	399	190	0.8636	0.812	0.9028	0.877	0.2334	0.0261	0.0025	0.0225	0.0625	2.0
0.25	l2	lognormal	160	2	independent_null	4.0	0.231	0.8759	0.05	220	399	13	0.0591	0.0349	0.0985	0.8398	0.0175	0.4476	0.0449	0.4062	0.9256	0.0273
0.25	l2	lognormal	160	3	matched	3.5	0.2465	0.8831	0.05	220	399	200	0.9091	0.8638	0.9404	0.8829	0.242	0.0227	0.0025	0.0175	0.0551	3.0
0.25	l2	lognormal	160	3	independent_null	3.5	0.2465	0.8831	0.05	220	399	11	0.05	0.0281	0.0873	0.8449	0.0048	0.4858	0.0499	0.4575	0.9404	0.0727
0.25	l1	normal	40	1	matched	2.5	0.2426	0.9143	0.05	220	399	77	0.35	0.29	0.4151	0.9136	0.2342	0.1367	0.0075	0.0875	0.4604	1.0
0.25	l1	normal	40	1	independent_null	2.5	0.2426	0.9143	0.05	220	399	15	0.0682	0.0418	0.1094	0.8868	0.0064	0.4952	0.04	0.505	0.9554	0.0409
0.25	l1	normal	40	2	matched	2.5	0.3153	0.9207	0.05	220	399	158	0.7182	0.6554	0.7735	0.9287	0.3704	0.0505	0.0025	0.0175	0.2279	2.0
0.25	l1	normal	40	2	independent_null	2.5	0.3153	0.9207	0.05	220	399	13	0.0591	0.0349	0.0985	0.887	0.025	0.4489	0.0446	0.4025	0.9451	0.1455
0.25	l1	normal	40	3	matched	2.0	0.2256	0.9263	0.05	220	399	78	0.3545	0.2943	0.4198	0.9269	0.228	0.1569	0.0025	0.0862	0.4811	3.0
0.25	l1	normal	40	3	independent_null	2.0	0.2256	0.9263	0.05	220	399	10	0.0455	0.0249	0.0816	0.9074	0.0163	0.4669	0.05	0.47	0.9551	0.2455
