kind	df_label	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
l2	t10	80	3	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.811	0.0137	0.1333	0.4535	0.0763	0.4517	0.9407
l2	t10	160	1	4.0	matched	0.05	120	299	70	0.5833	0.4939	0.6676	0.9169	0.1631	1.0	0.0717	0.0033	0.0367	0.1923
l2	t10	160	1	4.0	independent_null	0.05	120	299	11	0.0917	0.052	0.1567	0.9009	0.0106	0.0	0.4745	0.0298	0.4383	0.9533
l2	t10	160	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.926	0.3701	1.0	0.0071	0.0033	0.0067	0.0135
l2	t10	160	1	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8811	-0.006	0.0	0.5226	0.0497	0.5	0.9667
l2	t10	160	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9358	0.5395	1.0	0.0067	0.0033	0.0067	0.0133
l2	t10	160	1	8.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8586	0.0061	0.0083	0.4981	0.0365	0.4783	0.9603
l2	t10	160	2	4.0	matched	0.05	120	299	116	0.9667	0.9174	0.987	0.9244	0.2813	2.0	0.0119	0.0033	0.0033	0.0435
l2	t10	160	2	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8959	0.0041	0.025	0.4768	0.0467	0.4783	0.9368
l2	t10	160	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.939	0.5414	2.0	0.0034	0.0033	0.0033	0.0033
l2	t10	160	2	6.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8652	-0.0137	0.0167	0.5588	0.0892	0.6033	0.9437
l2	t10	160	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9545	0.7203	2.0	0.0033	0.0033	0.0033	0.0033
l2	t10	160	2	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8327	0.008	0.0167	0.4496	0.0698	0.4	0.9072
l2	t10	160	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9306	0.3575	3.0	0.0042	0.0033	0.0033	0.0068
l2	t10	160	3	4.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8901	-0.0071	0.0667	0.5376	0.0632	0.5783	0.9438
l2	t10	160	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9487	0.6355	3.0	0.0033	0.0033	0.0033	0.0033
l2	t10	160	3	6.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8569	0.0042	0.1083	0.5051	0.0298	0.5033	0.9735
l2	t10	160	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9651	0.7996	3.0	0.0033	0.0033	0.0033	0.0033
l2	t10	160	3	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8183	0.0	0.0583	0.4883	0.0665	0.51	0.9133
l2	t8	40	1	4.0	matched	0.05	120	299	87	0.725	0.6391	0.797	0.9384	0.4214	1.0	0.0393	0.0033	0.025	0.12
l2	t8	40	1	4.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8954	0.0267	0.0583	0.4651	0.0298	0.45	0.9305
l2	t8	40	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.956	0.68	1.0	0.0187	0.0033	0.0167	0.04
l2	t8	40	1	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8523	0.0022	0.0333	0.4999	0.0663	0.5133	0.9577
l2	t8	40	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9735	0.8413	1.0	0.0143	0.0033	0.0133	0.03
l2	t8	40	1	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8143	-0.004	0.0167	0.5128	0.0497	0.5067	0.9602
l2	t8	40	2	4.0	matched	0.05	120	299	117	0.975	0.9291	0.9915	0.954	0.571	2.0	0.0097	0.0033	0.0033	0.0302
l2	t8	40	2	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.887	-0.0152	0.075	0.5353	0.0465	0.545	0.967
l2	t8	40	2	6.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.9718	0.7946	2.0	0.0046	0.0033	0.0033	0.0067
l2	t8	40	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8475	-0.0027	0.1083	0.5022	0.0497	0.5233	0.9635
l2	t8	40	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9842	0.9053	2.0	0.004	0.0033	0.0033	0.0067
l2	t8	40	2	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.811	-0.0139	0.05	0.4774	0.109	0.4433	0.924
l2	t8	40	3	4.0	matched	0.05	120	299	118	0.9833	0.9413	0.9954	0.9616	0.6268	3.0	0.0063	0.0033	0.0033	0.02
l2	t8	40	3	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8927	0.0179	0.2417	0.4726	0.0365	0.48	0.9408
l2	t8	40	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9805	0.8525	3.0	0.0034	0.0033	0.0033	0.0033
l2	t8	40	3	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8537	0.0017	0.2	0.5011	0.0463	0.4933	0.9437
l2	t8	40	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9888	0.9271	3.0	0.0033	0.0033	0.0033	0.0033
l2	t8	40	3	8.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8251	-0.0058	0.2333	0.5224	0.0863	0.5117	0.9602
