background	kind	n	k_extremes	scenario	target_reference	target_corr	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	calibration_repetitions	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
t3	l1	20	3	independent_null	explicit target_corr=0.35	0.35	3.5	0.323	0.9177	0.05	120	300	499	19	0.0633	0.0409	0.0968	19.9773	0.8763	-0.0056	0.5111	0.032	0.515	0.962	0.42
t3	l1	40	1	matched	explicit target_corr=0.35	0.35	5.5	0.3432	0.8392	0.05	120	300	499	154	0.5133	0.457	0.5694	44.3836	0.8402	0.3436	0.0787	0.004	0.048	0.2465	1.0
t3	l1	40	1	independent_null	explicit target_corr=0.35	0.35	5.5	0.3432	0.8392	0.05	120	300	499	14	0.0467	0.028	0.0768	39.9634	0.7526	-0.0045	0.5045	0.0538	0.486	0.9561	0.02
t3	l1	40	2	matched	explicit target_corr=0.35	0.35	4.5	0.379	0.8701	0.05	120	300	499	177	0.59	0.5335	0.6442	44.0426	0.8623	0.3609	0.0714	0.002	0.033	0.2726	2.0
t3	l1	40	2	independent_null	explicit target_corr=0.35	0.35	4.5	0.379	0.8701	0.05	120	300	499	16	0.0533	0.0331	0.0849	39.8951	0.7855	-0.0082	0.5221	0.0419	0.527	0.952	0.0967
t3	l1	40	3	matched	explicit target_corr=0.35	0.35	4.0	0.2935	0.8612	0.05	120	300	499	172	0.5733	0.5168	0.628	43.1799	0.8786	0.3434	0.0787	0.002	0.03	0.2743	3.0
t3	l1	40	3	independent_null	explicit target_corr=0.35	0.35	4.0	0.2935	0.8612	0.05	120	300	499	13	0.0433	0.0255	0.0727	39.8824	0.8117	-0.0084	0.5182	0.0559	0.538	0.9581	0.2333
t3	l1	80	1	matched	explicit target_corr=0.35	0.35	8.0	0.3915	0.8273	0.05	120	300	499	254	0.8467	0.8015	0.883	92.3955	0.8212	0.3798	0.0268	0.002	0.016	0.0883	1.0
t3	l1	80	1	independent_null	explicit target_corr=0.35	0.35	8.0	0.3915	0.8273	0.05	120	300	499	8	0.0267	0.0136	0.0517	79.6543	0.706	-0.0108	0.518	0.086	0.501	0.9543	0.0133
t3	l1	80	2	matched	explicit target_corr=0.35	0.35	6.0	0.347	0.8245	0.05	120	300	499	238	0.7933	0.7439	0.8353	89.9309	0.8257	0.3463	0.0299	0.002	0.01	0.1242	2.0
t3	l1	80	2	independent_null	explicit target_corr=0.35	0.35	6.0	0.347	0.8245	0.05	120	300	499	18	0.06	0.0383	0.0928	80.2118	0.7423	0.0096	0.4767	0.0438	0.471	0.9342	0.0633
t3	l1	80	3	matched	explicit target_corr=0.35	0.35	5.5	0.3863	0.8517	0.05	120	300	499	262	0.8733	0.8309	0.9063	90.3578	0.8459	0.3817	0.0231	0.002	0.006	0.1044	3.0
t3	l1	80	3	independent_null	explicit target_corr=0.35	0.35	5.5	0.3863	0.8517	0.05	120	300	499	11	0.0367	0.0206	0.0645	79.8728	0.7492	-0.0024	0.5059	0.0599	0.513	0.9322	0.0833
t3	l1	160	1	matched	explicit target_corr=0.35	0.35	8.0	0.2309	0.7817	0.05	120	300	499	227	0.7567	0.7051	0.8018	173.627	0.7778	0.2207	0.0401	0.002	0.02	0.1324	1.0
t3	l1	160	1	independent_null	explicit target_corr=0.35	0.35	8.0	0.2309	0.7817	0.05	120	300	499	18	0.06	0.0383	0.0928	159.9957	0.7214	-0.0001	0.5111	0.0359	0.556	0.9184	0.0067
t3	l1	160	2	matched	explicit target_corr=0.35	0.35	8.0	0.3486	0.8017	0.05	120	300	499	287	0.9567	0.9273	0.9745	184.0054	0.8011	0.3425	0.0121	0.002	0.004	0.0441	2.0
t3	l1	160	2	independent_null	explicit target_corr=0.35	0.35	8.0	0.3486	0.8017	0.05	120	300	499	14	0.0467	0.028	0.0768	159.7792	0.7016	-0.0034	0.5181	0.0539	0.521	0.9424	0.0433
t3	l1	160	3	matched	explicit target_corr=0.35	0.35	7.0	0.3541	0.8165	0.05	120	300	499	287	0.9567	0.9273	0.9745	184.0828	0.817	0.3679	0.0095	0.002	0.002	0.046	3.0
t3	l1	160	3	independent_null	explicit target_corr=0.35	0.35	7.0	0.3541	0.8165	0.05	120	300	499	13	0.0433	0.0255	0.0727	160.4009	0.709	0.0046	0.4782	0.0618	0.473	0.9182	0.0633
lognormal	l1	20	1	matched	explicit target_corr=0.35	0.35	2.5	0.3517	0.8882	0.05	120	300	499	54	0.18	0.1407	0.2274	21.3528	0.8728	0.2977	0.1459	0.0139	0.147	0.2821	1.0
lognormal	l1	20	1	independent_null	explicit target_corr=0.35	0.35	2.5	0.3517	0.8882	0.05	120	300	499	10	0.0333	0.0182	0.0603	19.9577	0.8156	-0.0193	0.5246	0.0777	0.536	0.9741	0.0633
lognormal	l1	20	2	matched	explicit target_corr=0.35	0.35	2.0	0.2768	0.9089	0.05	120	300	499	57	0.19	0.1496	0.2382	20.7899	0.9068	0.2695	0.1734	0.004	0.168	0.3642	2.0
lognormal	l1	20	2	independent_null	explicit target_corr=0.35	0.35	2.0	0.2768	0.9089	0.05	120	300	499	7	0.0233	0.0113	0.0474	20.0483	0.8738	0.0071	0.4839	0.0619	0.468	0.9341	0.2067
