n	noise	positive_probability	contamination_fraction	magnitude_family	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
40	0.5	0.5	0.0	uniform	huber_primary	1500	499	0.79	0.7686599719312812	0.8098584582510135
40	0.5	0.5	0.0	uniform	huber_cap6	1500	499	0.79	0.7686599719312812	0.8098584582510135
40	0.5	0.5	0.0	lognormal	original_l2	1500	499	0.9666666666666667	0.9563241640542839	0.9746250339402134
40	0.5	0.5	0.0	lognormal	original_l1	1500	499	0.92	0.9051736983817822	0.9326805798132654
40	0.5	0.5	0.0	lognormal	huber_primary	1500	499	0.9386666666666666	0.9253675283888986	0.9497247177259288
40	0.5	0.5	0.0	lognormal	huber_cap6	1500	499	0.9386666666666666	0.9253675283888986	0.9497247177259288
40	0.5	0.5	0.05	uniform	original_l2	1500	499	0.056	0.04545839056668995	0.06880994391283121
40	0.5	0.5	0.05	uniform	original_l1	1500	499	0.06	0.04906852936100265	0.07317936967275707
40	0.5	0.5	0.05	uniform	huber_primary	1500	499	0.06	0.04906852936100265	0.07317936967275707
40	0.5	0.5	0.05	uniform	huber_cap6	1500	499	0.07666666666666666	0.06425750173494678	0.09123858294147354
40	0.5	0.5	0.05	lognormal	original_l2	1500	499	0.04533333333333334	0.03591646328500114	0.05707303238321723
40	0.5	0.5	0.05	lognormal	original_l1	1500	499	0.042666666666666665	0.03355366749284015	0.054116118472552516
40	0.5	0.5	0.05	lognormal	huber_primary	1500	499	0.04466666666666667	0.03532481507788357	0.05633475316462838
40	0.5	0.5	0.05	lognormal	huber_cap6	1500	499	0.07933333333333334	0.06670646762987423	0.09410932674937181
40	0.5	0.65	0.0	uniform	original_l2	1500	499	0.486	0.4607749566085008	0.5112965674516643
40	0.5	0.65	0.0	uniform	original_l1	1500	499	0.2946666666666667	0.27214375901157345	0.3182385938708478
40	0.5	0.65	0.0	uniform	huber_primary	1500	499	0.37666666666666665	0.35248985315186815	0.4014735730924432
40	0.5	0.65	0.0	uniform	huber_cap6	1500	499	0.37666666666666665	0.35248985315186815	0.4014735730924432
40	0.5	0.65	0.0	lognormal	original_l2	1500	499	0.8073333333333333	0.7865996283045937	0.8264969149460681
40	0.5	0.65	0.0	lognormal	original_l1	1500	499	0.676	0.6518927838772577	0.6992080565092385
40	0.5	0.65	0.0	lognormal	huber_primary	1500	499	0.668	0.64376548665885	0.691376224619169
40	0.5	0.65	0.0	lognormal	huber_cap6	1500	499	0.668	0.64376548665885	0.691376224619169
40	0.5	0.65	0.05	uniform	original_l2	1500	499	0.042666666666666665	0.03355366749284015	0.054116118472552516
40	0.5	0.65	0.05	uniform	original_l1	1500	499	0.048666666666666664	0.03888362661591451	0.06075550618083598
40	0.5	0.65	0.05	uniform	huber_primary	1500	499	0.054	0.04365935933562643	0.06661919286677545
40	0.5	0.65	0.05	uniform	huber_cap6	1500	499	0.072	0.05998329482631877	0.08620329787015658
40	0.5	0.65	0.05	lognormal	original_l2	1500	499	0.046	0.03650872245690122	0.05781070063702358
40	0.5	0.65	0.05	lognormal	original_l1	1500	499	0.04933333333333333	0.03947876255528736	0.061490297667169555
40	0.5	0.65	0.05	lognormal	huber_primary	1500	499	0.05266666666666667	0.042462382108623964	0.06515631524236508
40	0.5	0.65	0.05	lognormal	huber_cap6	1500	499	0.08066666666666666	0.06793265072083973	0.09554299850981915
80	0.15	0.5	0.0	uniform	original_l2	1500	499	1.0	0.9974455692798185	1.0
80	0.15	0.5	0.0	uniform	original_l1	1500	499	0.988	0.9811108100593887	0.9923960655577141
80	0.15	0.5	0.0	uniform	huber_primary	1500	499	0.9953333333333333	0.9903984313813807	0.9977376459184928
80	0.15	0.5	0.0	uniform	huber_cap6	1500	499	0.9953333333333333	0.9903984313813807	0.9977376459184928
80	0.15	0.5	0.0	lognormal	original_l2	1500	499	1.0	0.9974455692798185	1.0
80	0.15	0.5	0.0	lognormal	original_l1	1500	499	1.0	0.9974455692798185	1.0
80	0.15	0.5	0.0	lognormal	huber_primary	1500	499	1.0	0.9974455692798185	1.0
80	0.15	0.5	0.0	lognormal	huber_cap6	1500	499	1.0	0.9974455692798185	1.0
80	0.15	0.5	0.05	uniform	original_l2	1500	499	0.04666666666666667	0.03710158016621855	0.05854777035341267
80	0.15	0.5	0.05	uniform	original_l1	1500	499	0.05	0.040074440990789065	0.062224546657374286
