design	scenario	temperature	aggregation	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high	mean_profile_weight
balanced	conditional_null	4.0	room_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.5001606498454814
balanced	conditional_null	4.0	room_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.5001606498454814
balanced	conditional_null	4.0	room_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.5001606498454814
balanced	conditional_null	4.0	room_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5001606498454814
balanced	conditional_null	4.0	sqrt_rooms	cv_retrained	600	21	0.035	0.023004350476005058	0.052912031466736606	0.5001606498454814
balanced	conditional_null	4.0	sqrt_rooms	cv_standardized	600	24	0.04	0.02702502927655182	0.05882773565605286	0.5146269946303386
balanced	conditional_null	4.0	sqrt_rooms	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.5001606498454814
balanced	conditional_null	4.0	sqrt_rooms	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.5001606498454814
balanced	conditional_null	4.0	sqrt_rooms	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.5001606498454814
balanced	conditional_null	4.0	sqrt_rooms	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5001606498454814
balanced	conditional_null	8.0	building_equal	cv_retrained	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5018040702068819
balanced	conditional_null	8.0	building_equal	cv_standardized	600	23	0.03833333333333333	0.025677277815960083	0.0568633594533569	0.5246287227954414
balanced	conditional_null	8.0	building_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.5018040702068819
