section	source_file	kind	background	n	k_extremes	scenario	target_corr	selected_magnitude	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	1	negative_control	0.35	5.5	0.05	500	499	25	0.05	0.0341	0.0728	0.7595	0.0024	0.4963	0.0499	0.491	0.9361	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	1	independent_null	0.35	5.5	0.05	500	499	22	0.044	0.0292	0.0657	0.7659	0.0052	0.4829	0.0578	0.471	0.946	0.022
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	2	matched	0.35	4.5	0.05	500	499	283	0.566	0.5222	0.6088	0.8625	0.3492	0.0752	0.002	0.037	0.2701	2.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	2	negative_control	0.35	4.5	0.05	500	499	15	0.03	0.0183	0.0489	0.7824	-0.0249	0.542	0.0894	0.544	0.9641	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	2	independent_null	0.35	4.5	0.05	500	499	28	0.056	0.039	0.0797	0.7871	-0.0005	0.5023	0.0479	0.495	0.938	0.124
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	3	matched	0.35	4.0	0.05	500	499	267	0.534	0.4902	0.5773	0.8768	0.334	0.0833	0.002	0.038	0.306	3.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	3	negative_control	0.35	4.0	0.05	500	499	21	0.042	0.0276	0.0634	0.8065	-0.034	0.5625	0.0699	0.573	0.9601	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	t3	40	3	independent_null	0.35	4.0	0.05	500	499	16	0.032	0.0198	0.0513	0.8165	0.0026	0.4936	0.0619	0.486	0.9441	0.21
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	1	matched	0.35	3.5	0.05	500	499	198	0.396	0.3541	0.4395	0.8262	0.3339	0.0678	0.006	0.063	0.144	1.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	1	negative_control	0.35	3.5	0.05	500	499	16	0.032	0.0198	0.0513	0.7352	-0.0072	0.5035	0.0699	0.507	0.938	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	1	independent_null	0.35	3.5	0.05	500	499	17	0.034	0.0213	0.0538	0.7351	-0.0042	0.4948	0.076	0.486	0.9362	0.02
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	2	matched	0.35	3.0	0.05	500	499	325	0.65	0.6072	0.6905	0.8625	0.3916	0.0378	0.002	0.032	0.09	2.0
