group	metric	method	correlation_with_rejection_rate	bootstrap_low	bootstrap_high	n_rows
k=3	signal_over_q90_noise	spearman	0.6824	0.5864	0.7584	162
k=3	signal_over_q95_noise	pearson	0.6581	0.5893	0.7193	162
k=3	signal_over_q95_noise	spearman	0.7903	0.7078	0.8439	162
k=3	signal_over_topk_noise	pearson	0.78	0.7291	0.8238	162
k=3	signal_over_topk_noise	spearman	0.9419	0.9173	0.9577	162
k=3	signal_over_max_noise	pearson	0.7601	0.7184	0.8081	162
k=3	signal_over_max_noise	spearman	0.9501	0.9284	0.9632	162
k=3	mean_corr_from_signal_runs	pearson	0.829	0.783	0.8652	162
k=3	mean_corr_from_signal_runs	spearman	0.8636	0.805	0.9019	162
k=3	mean_norm_from_signal_runs	pearson	0.7215	0.6454	0.7943	162
k=3	mean_norm_from_signal_runs	spearman	0.772	0.7062	0.8212	162
magnitude=4	matched_extreme_to_mean	pearson	0.6576	0.5782	0.7292	162
magnitude=4	matched_extreme_to_mean	spearman	0.6682	0.5854	0.7238	162
magnitude=4	background_cv	pearson	-0.6807	-0.7373	-0.6267	162
magnitude=4	background_cv	spearman	-0.7615	-0.8097	-0.6954	162
magnitude=4	background_q90_to_mean	pearson	0.2615	0.1198	0.3884	162
magnitude=4	background_q90_to_mean	spearman	0.2458	0.0889	0.3917	162
magnitude=4	background_q95_to_mean	pearson	-0.3513	-0.4801	-0.2199	162
magnitude=4	background_q95_to_mean	spearman	-0.3078	-0.4736	-0.1374	162
magnitude=4	background_topk_to_mean	pearson	-0.698	-0.7616	-0.6432	162
magnitude=4	background_topk_to_mean	spearman	-0.8424	-0.8845	-0.7809	162
magnitude=4	background_max_to_mean	pearson	-0.7045	-0.7539	-0.6536	162
magnitude=4	background_max_to_mean	spearman	-0.8283	-0.8729	-0.7735	162
magnitude=4	signal_over_q90_noise	pearson	0.6897	0.616	0.7527	162
magnitude=4	signal_over_q90_noise	spearman	0.6979	0.6328	0.7479	162
magnitude=4	signal_over_q95_noise	pearson	0.7613	0.7092	0.8096	162
magnitude=4	signal_over_q95_noise	spearman	0.7738	0.7244	0.8143	162
magnitude=4	signal_over_topk_noise	pearson	0.9265	0.9116	0.9404	162
magnitude=4	signal_over_topk_noise	spearman	0.9506	0.9284	0.9606	162
magnitude=4	signal_over_max_noise	pearson	0.8638	0.829	0.8896	162
magnitude=4	signal_over_max_noise	spearman	0.8843	0.8514	0.9084	162
magnitude=4	mean_corr_from_signal_runs	pearson	0.889	0.8624	0.9138	162
magnitude=4	mean_corr_from_signal_runs	spearman	0.9381	0.9133	0.9506	162
magnitude=4	mean_norm_from_signal_runs	pearson	0.7365	0.6917	0.7839	162
magnitude=4	mean_norm_from_signal_runs	spearman	0.8348	0.7893	0.8654	162
magnitude=6	matched_extreme_to_mean	pearson	0.539	0.4642	0.618	162
magnitude=6	matched_extreme_to_mean	spearman	0.6086	0.5116	0.6926	162
magnitude=6	background_cv	pearson	-0.7054	-0.778	-0.6244	162
magnitude=6	background_cv	spearman	-0.7658	-0.8135	-0.7081	162
magnitude=6	background_q90_to_mean	pearson	0.3144	0.1487	0.4674	162
magnitude=6	background_q90_to_mean	spearman	0.2919	0.1318	0.4353	162
magnitude=6	background_q95_to_mean	pearson	-0.3054	-0.4756	-0.1359	162
magnitude=6	background_q95_to_mean	spearman	-0.2737	-0.4393	-0.0965	162
magnitude=6	background_topk_to_mean	pearson	-0.7784	-0.8256	-0.722	162
magnitude=6	background_topk_to_mean	spearman	-0.7662	-0.8266	-0.6882	162
magnitude=6	background_max_to_mean	pearson	-0.7542	-0.8124	-0.6918	162
magnitude=6	background_max_to_mean	spearman	-0.7881	-0.8393	-0.7226	162
magnitude=6	signal_over_q90_noise	pearson	0.5477	0.469	0.6306	162
magnitude=6	signal_over_q90_noise	spearman	0.6261	0.5328	0.7108	162
magnitude=6	signal_over_q95_noise	pearson	0.6414	0.5818	0.7034	162
magnitude=6	signal_over_q95_noise	spearman	0.7378	0.6717	0.7872	162
magnitude=6	signal_over_topk_noise	pearson	0.8604	0.8277	0.8912	162
magnitude=6	signal_over_topk_noise	spearman	0.9387	0.9119	0.9549	162
magnitude=6	signal_over_max_noise	pearson	0.7861	0.7463	0.8253	162
magnitude=6	signal_over_max_noise	spearman	0.8818	0.85	0.9017	162
magnitude=6	mean_corr_from_signal_runs	pearson	0.8468	0.8087	0.8817	162
magnitude=6	mean_corr_from_signal_runs	spearman	0.8655	0.8113	0.9024	162
magnitude=6	mean_norm_from_signal_runs	pearson	0.7837	0.7237	0.8369	162
magnitude=6	mean_norm_from_signal_runs	spearman	0.7946	0.731	0.8391	162
magnitude=8	matched_extreme_to_mean	pearson	0.4087	0.3169	0.4961	162
magnitude=8	matched_extreme_to_mean	spearman	0.5437	0.4298	0.6424	162
magnitude=8	background_cv	pearson	-0.6426	-0.736	-0.5311	162
magnitude=8	background_cv	spearman	-0.7089	-0.7746	-0.6348	162
magnitude=8	background_q90_to_mean	pearson	0.3284	0.1292	0.4924	162
magnitude=8	background_q90_to_mean	spearman	0.3526	0.1944	0.4831	162
magnitude=8	background_q95_to_mean	pearson	-0.2394	-0.4241	-0.0339	162
magnitude=8	background_q95_to_mean	spearman	-0.1953	-0.3659	-0.0168	162
magnitude=8	background_topk_to_mean	pearson	-0.7632	-0.8328	-0.6706	162
magnitude=8	background_topk_to_mean	spearman	-0.6659	-0.7465	-0.5608	162
magnitude=8	background_max_to_mean	pearson	-0.7047	-0.7906	-0.6	162
magnitude=8	background_max_to_mean	spearman	-0.7062	-0.7671	-0.6178	162
magnitude=8	signal_over_q90_noise	pearson	0.3978	0.3115	0.4827	162
magnitude=8	signal_over_q90_noise	spearman	0.5499	0.4314	0.6452	162
magnitude=8	signal_over_q95_noise	pearson	0.4931	0.4306	0.5643	162
magnitude=8	signal_over_q95_noise	spearman	0.6693	0.5819	0.7324	162
magnitude=8	signal_over_topk_noise	pearson	0.7473	0.7061	0.793	162
magnitude=8	signal_over_topk_noise	spearman	0.8949	0.848	0.923	162
magnitude=8	signal_over_max_noise	pearson	0.6717	0.6263	0.7208	162
magnitude=8	signal_over_max_noise	spearman	0.8456	0.7956	0.8734	162
magnitude=8	mean_corr_from_signal_runs	pearson	0.806	0.755	0.8503	162
magnitude=8	mean_corr_from_signal_runs	spearman	0.8014	0.7346	0.8561	162
magnitude=8	mean_norm_from_signal_runs	pearson	0.7334	0.6467	0.8102	162
magnitude=8	mean_norm_from_signal_runs	spearman	0.7215	0.6376	0.7889	162
