n	latent_correlation	contamination_fraction	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_cdelta_minus_one	mean_profile_correlation
160	0.7	0.0	huber_cap6	1200	499	1.0	0.9968089993972651	1.0	0.1501261836902381	0.6528536782963383
160	0.7	0.05	original_l2	1200	499	0.051666666666666666	0.04051171663917239	0.06568288056794659	0.00044445899901246477	0.0012697557376939287
160	0.7	0.05	huber_primary	1200	499	0.06333333333333334	0.050897824447329904	0.07855564941239193	0.03996507015487527	0.009594233190055706
160	0.7	0.05	huber_cap6	1200	499	0.08583333333333333	0.07127628685086342	0.10303359198173533	0.06981688181345591	0.041512704708917436
320	0.0	0.0	original_l2	1200	499	0.043333333333333335	0.03319710174469772	0.0563840121391335	-6.546992794409512e-05	-0.0014883016803402369
320	0.0	0.0	huber_primary	1200	499	0.041666666666666664	0.03174687775074607	0.0545115394684276	-0.00038117896022205056	-0.001855472021723595
320	0.0	0.0	huber_cap6	1200	499	0.041666666666666664	0.03174687775074607	0.0545115394684276	-0.00038117896022205056	-0.001855472021723595
320	0.0	0.05	original_l2	1200	499	0.041666666666666664	0.03174687775074607	0.0545115394684276	-0.0004036955651849361	-0.001192501712307952
320	0.0	0.05	huber_primary	1200	499	0.04583333333333333	0.035380848837991884	0.05918431004282566	-0.003368071242803472	-0.000872613959924871
320	0.0	0.05	huber_cap6	1200	499	0.04666666666666667	0.03611089196253996	0.060115615250606366	-0.0011913784638207803	-0.0006416012385177627
320	0.1	0.0	original_l2	1200	499	0.3883333333333333	0.3611562798880229	0.4162230435799211	0.0042508407477575005	0.08283114670554458
320	0.1	0.0	huber_primary	1200	499	0.46	0.43197340691974107	0.4882818731284777	0.020566491845188883	0.09058089874252569
320	0.1	0.0	huber_cap6	1200	499	0.46	0.43197340691974107	0.4882818731284777	0.020566186698753652	0.09058055027200337
320	0.1	0.05	original_l2	1200	499	0.050833333333333335	0.0397759124281339	0.0647573364466563	-4.107818869591995e-05	-0.00011897826883246208
320	0.1	0.05	huber_primary	1200	499	0.056666666666666664	0.044944448197728686	0.07121823900336294	0.00401804343718859	0.000988239767914422
320	0.1	0.05	huber_cap6	1200	499	0.058333333333333334	0.0464284241141606	0.07305695975158857	0.008142317946182143	0.004808021955321926
320	0.2	0.0	original_l2	1200	499	0.8766666666666667	0.8568512133727132	0.8940782328398932	0.008652361521755747	0.16872502525367583
320	0.2	0.0	huber_primary	1200	499	0.9425	0.9278620197697118	0.9543139446968676	0.04148513002206866	0.18265753829664538
320	0.2	0.0	huber_cap6	1200	499	0.9425	0.9278620197697118	0.9543139446968676	0.04148524506809048	0.18265848690312286
320	0.2	0.05	original_l2	1200	499	0.05	0.039041012521836546	0.06383088802062488	-4.341436857790981e-05	-0.0001314837468758371
320	0.2	0.05	huber_primary	1200	499	0.059166666666666666	0.0471715395740472	0.07397519262403075	0.009560793798001344	0.0023246898882636215
320	0.2	0.05	huber_cap6	1200	499	0.06916666666666667	0.056142321206953394	0.08494059097906986	0.018278903309194128	0.010662617713442311
320	0.3	0.0	original_l2	1200	499	0.995	0.9891344085810173	0.9977065008222751	0.013126843993118475	0.2563551785200904
320	0.3	0.0	huber_primary	1200	499	0.9991666666666666	0.9952947700098665	0.9998528810550694	0.0622559177113835	0.2748766473693061
320	0.3	0.0	huber_cap6	1200	499	0.9991666666666666	0.9952947700098665	0.9998528810550694	0.0622559177113835	0.2748766473693061
320	0.3	0.05	original_l2	1200	499	0.0425	0.032471408616991965	0.05544835693451049	0.00038977756226388216	0.001109910301852053
320	0.3	0.05	huber_primary	1200	499	0.04416666666666667	0.03392392584061023	0.05731853637554976	0.019789713007229093	0.004753597400425226
320	0.3	0.05	huber_cap6	1200	499	0.07	0.05689397841972531	0.08585028209862673	0.029903983241335252	0.017519284431461182
320	0.5	0.0	original_l2	1200	499	1.0	0.9968089993972651	1.0	0.022935497078275358	0.44452538586838064
320	0.5	0.0	huber_primary	1200	499	1.0	0.9968089993972651	1.0	0.10626089885673351	0.46674196663200385
320	0.5	0.0	huber_cap6	1200	499	1.0	0.9968089993972651	1.0	0.10626061588027169	0.46674241867663807
320	0.5	0.05	original_l2	1200	499	0.043333333333333335	0.03319710174469772	0.0563840121391335	0.00032842804743316023	0.0009517652244914158
320	0.5	0.05	huber_primary	1200	499	0.05416666666666667	0.04272435599457301	0.06845428620953228	0.02729140963820509	0.006606407049262732
320	0.5	0.05	huber_cap6	1200	499	0.0975	0.08197849378868173	0.11559026169651988	0.0470071154906182	0.027638913396747046
320	0.7	0.0	original_l2	1200	499	1.0	0.9968089993972651	1.0	0.033430962207905424	0.6468371703493377
