tau	n	replication	root_seed	sign_mean	sample_mean_x	sample_mean_y	sample_median_x	sample_median_y	stage	estimate	historical_C	se_stage_aware	se_direct_only	reject_stage_aware	reject_direct_only	reference_x	reference_y	scale_x	scale_y	active_fraction_x	active_fraction_y	score_residual_max	root_gap_in_scale_units	error
0.1	640	1826	2026090901	0.021875	0.02548091570709702	0.022562825596243424	0.8291860562917579	0.8240381245856279	population_scale	0.0378285003597108	1.0003816553307519	0.1659863109837958	0.03849151989961881	0	0	0.025480915707096964	0.022562825596243417	1.4826	1.4826	1.0	1.0	1.8041124150158794e-17	0.0	
0.1	640	1826	2026090901	0.021875	0.02548091570709702	0.022562825596243424	0.8291860562917579	0.8240381245856279	population_median	0.037828500359710804	1.0003816553307519	0.1659863109837958	0.03849151989961881	0	0	0.025480915707097034	0.022562825596243414	1.4851740954232349	1.4800374004916657	1.0	1.0	1.3183898417423733e-17	0.0	
0.1	640	1826	2026090901	0.021875	0.02548091570709702	0.022562825596243424	0.8291860562917579	0.8240381245856279	full_fit	0.8105538020489917	1.0422145593905265	0.3309517975464029	0.01090575669693659	1	1	0.1990672461808117	0.217299614568243	0.594430454713859	0.5776031803167323	0.2421875	0.25	8.88160961443063e-11	3.6672444713113143e-10	
0.1	640	1827	2026090901	-0.04375	-0.04769815551724446	-0.0430853121351282	-0.8478404001906327	-0.827078277405627	population_reference	0.01665549261471461	1.000179517682988	0.03660984054998759	0.03660984054998759	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.03217196514045897	0.0	
0.1	640	1827	2026090901	-0.04375	-0.04769815551724446	-0.0430853121351282	-0.8478404001906327	-0.827078277405627	population_scale	0.1650455337291708	1.0021013611392013	0.22855856395308924	0.03437691177676501	0	1	-0.04769815551724449	-0.0430853121351282	1.4826	1.4826	1.0	1.0	1.6653345369377347e-17	0.0	
0.1	640	1827	2026090901	-0.04375	-0.04769815551724446	-0.0430853121351282	-0.8478404001906327	-0.827078277405627	population_median	0.16504553372917077	1.0021013611392013	0.22855856395308924	0.03437691177676501	0	1	-0.04769815551724446	-0.04308531213512821	1.474225922976334	1.4780859095138876	1.0	1.0	2.2898349882893852e-17	0.0	
0.1	640	1827	2026090901	-0.04375	-0.04769815551724446	-0.0430853121351282	-0.8478404001906327	-0.827078277405627	full_fit	0.8947662711835973	1.0926630086962261	0.10220697149280845	0.005527082815920306	1	1	-0.32026521794071566	-0.2869680029457474	0.5333888297735111	0.5574747910083111	0.34375	0.321875	5.639161915205193e-11	1.7519723204938088e-10	
0.1	640	1828	2026090901	0.021875	0.02007554525997803	0.014770795677677351	0.8140570639321879	0.8274224787754536	population_reference	-0.038787009288285934	0.9996036713379285	0.03909665401239215	0.03909665401239215	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.013540769769309343	0.0	
0.1	640	1828	2026090901	0.021875	0.02007554525997803	0.014770795677677351	0.8140570639321879	0.8274224787754536	population_scale	0.0064911995109459535	1.0000693042247695	0.16725188947036654	0.03935696125326802	0	0	0.020075545259978043	0.014770795677677355	1.4826	1.4826	1.0	1.0	2.6367796834847467e-17	0.0	
0.1	640	1828	2026090901	0.021875	0.02007554525997803	0.014770795677677351	0.8140570639321879	0.8274224787754536	population_median	0.0064911995109459535	1.0000693042247695	0.16725188947036654	0.03935696125326802	0	0	0.020075545259978036	0.014770795677677358	1.4731378592989797	1.4899827286998415	1.0	1.0	2.914335439641036e-17	0.0	
0.1	640	1828	2026090901	0.021875	0.02007554525997803	0.014770795677677351	0.8140570639321879	0.8274224787754536	full_fit	0.8293931636079739	1.0527203151255453	0.27573125399647247	0.009776324869166795	1	1	0.21135700775108265	0.24081275900270727	0.573432337151117	0.5528851522122443	0.2359375	0.221875	9.740680484426889e-11	4.390165433711403e-10	
0.1	640	1829	2026090901	0.0125	0.016982748094249277	0.018039566284963632	0.8110480646688321	0.8174409489318817	population_reference	-0.0028102359248741667	0.9999748086512816	0.038933977770051136	0.038933977770051136	0	0	0.0	0.0	1.4826	1.4826	1.0	1.0	0.012167520764173502	0.0	
