family	n	n_blocks	scale_ratio	signal_magnitude	permutation_scheme	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_observed_cdelta	mean_permutation_reference
conditional_null	40	4	4.0	0.0	within_block	huber_primary	1500	499	0.04666666666666667	0.03710158016621855	0.05854777035341267	1.2290628325793647	1.2340992776619468
conditional_null	40	4	4.0	0.0	within_block	huber_cap6	1500	499	0.04666666666666667	0.03710158016621855	0.05854777035341267	1.2273471799870994	1.2322682709608226
matched_within_block	40	4	4.0	4.0	unrestricted	original_l2	1500	499	0.8606666666666667	0.842218960388044	0.8772717769191317	1.1151617850236095	0.9999655389230905
matched_within_block	40	4	4.0	4.0	unrestricted	huber_primary	1500	499	0.8913333333333333	0.8745724531026949	0.9060949457869764	1.8471622381575095	0.9997632295973878
matched_within_block	40	4	4.0	4.0	unrestricted	huber_cap6	1500	499	0.89	0.8731585444191344	0.9048489996191241	1.6139338816084752	0.9998733895880659
matched_within_block	40	4	4.0	4.0	within_block	original_l2	1500	499	0.5973333333333334	0.5722962090091096	0.6218731951440285	1.1151617850236095	1.0290998975314114
matched_within_block	40	4	4.0	4.0	within_block	huber_primary	1500	499	0.64	0.6153798833270084	0.6639048760713407	1.8471622381575095	1.2687129469378566
matched_within_block	40	4	4.0	4.0	within_block	huber_cap6	1500	499	0.598	0.5729678661246332	0.6225314654542112	1.6139338816084752	1.2346088737925902
matched_within_block	40	4	4.0	6.0	unrestricted	original_l2	1500	499	0.968	0.9578292713813557	0.9757797814645544	1.1826733915091485	1.000041983916654
matched_within_block	40	4	4.0	6.0	unrestricted	huber_primary	1500	499	0.9786666666666667	0.97003941893791	0.984848472719303	2.529931898845584	1.0005115819371677
matched_within_block	40	4	4.0	6.0	unrestricted	huber_cap6	1500	499	0.9766666666666667	0.9677227867175916	0.9831753226625021	1.7947664391019529	1.0004086412356312
matched_within_block	40	4	4.0	6.0	within_block	original_l2	1500	499	0.8726666666666667	0.8548400771961882	0.8885893537737033	1.1826733915091485	1.0272420395954165
matched_within_block	40	4	4.0	6.0	within_block	huber_primary	1500	499	0.9033333333333333	0.8873324063961125	0.9172736861562745	2.529931898845584	1.3104016193016885
matched_within_block	40	4	4.0	6.0	within_block	huber_cap6	1500	499	0.8573333333333333	0.8387210310534137	0.8741200691252298	1.7947664391019529	1.224122228380974
conditional_null	80	2	2.0	0.0	unrestricted	original_l2	1500	499	0.3	0.27734428397862837	0.32367748830944415	1.015991261691748	1.0000201400159956
conditional_null	80	2	2.0	0.0	unrestricted	huber_primary	1500	499	0.34	0.3164633273858795	0.3643540904445786	1.1073467313758756	1.0001159700226931
conditional_null	80	2	2.0	0.0	unrestricted	huber_cap6	1500	499	0.34	0.3164633273858795	0.3643540904445786	1.1073200078516356	1.0001161284110398
conditional_null	80	2	2.0	0.0	within_block	original_l2	1500	499	0.054	0.04365935933562643	0.06661919286677545	1.015991261691748	1.0160488430633519
conditional_null	80	2	2.0	0.0	within_block	huber_primary	1500	499	0.05	0.040074440990789065	0.062224546657374286	1.1073467313758756	1.1081967927589895
conditional_null	80	2	2.0	0.0	within_block	huber_cap6	1500	499	0.05	0.040074440990789065	0.062224546657374286	1.1073200078516356	1.1081700882264944
matched_within_block	80	2	2.0	4.0	unrestricted	original_l2	1500	499	0.9933333333333333	0.9877715110569365	0.9963747839658177	1.1075878800957544	1.0000066734851467
matched_within_block	80	2	2.0	4.0	unrestricted	huber_primary	1500	499	0.9966666666666667	0.9922205476749006	0.9985753844763858	1.671592359852468	1.0000186924091798
matched_within_block	80	2	2.0	4.0	unrestricted	huber_cap6	1500	499	0.9966666666666667	0.9922205476749006	0.9985753844763858	1.6007813766166903	0.9999930777488419
matched_within_block	80	2	2.0	4.0	within_block	original_l2	1500	499	0.9846666666666667	0.9770961533671854	0.9897610851213854	1.1075878800957544	1.0132810842574758
matched_within_block	80	2	2.0	4.0	within_block	huber_primary	1500	499	0.9853333333333333	0.9778925767113107	0.9902945892029664	1.671592359852468	1.1122727920292645
matched_within_block	80	2	2.0	4.0	within_block	huber_cap6	1500	499	0.9846666666666667	0.9770961533671854	0.9897610851213854	1.6007813766166903	1.1076964351261986
matched_within_block	80	2	2.0	6.0	unrestricted	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.1878115753429141	0.9999907378949494
matched_within_block	80	2	2.0	6.0	unrestricted	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.3419985770734155	0.9998625140787217
matched_within_block	80	2	2.0	6.0	unrestricted	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.8778547926518507	0.999839973497149
matched_within_block	80	2	2.0	6.0	within_block	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.1878115753429141	1.0106233125719997
matched_within_block	80	2	2.0	6.0	within_block	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.3419985770734155	1.116621962422479
matched_within_block	80	2	2.0	6.0	within_block	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.8778547926518507	1.0931264905443496
conditional_null	80	2	4.0	0.0	unrestricted	original_l2	1500	499	0.634	0.6093090412888363	0.6580063712781551	1.037870403981806	1.0000034689392379
conditional_null	80	2	4.0	0.0	unrestricted	huber_primary	1500	499	0.842	0.8226711835570679	0.859581585830328	1.3453821588094634	0.9999783556785646
conditional_null	80	2	4.0	0.0	unrestricted	huber_cap6	1500	499	0.8573333333333333	0.8387210310534137	0.8741200691252298	1.3435221416034704	0.9999665371230291
conditional_null	80	2	4.0	0.0	within_block	original_l2	1500	499	0.050666666666666665	0.040670651803700913	0.06295826327016886	1.037870403981806	1.0382102660818016
conditional_null	80	2	4.0	0.0	within_block	huber_primary	1500	499	0.051333333333333335	0.041267385200304804	0.06369145729927139	1.3453821588094634	1.348363204564072
conditional_null	80	2	4.0	0.0	within_block	huber_cap6	1500	499	0.05266666666666667	0.042462382108623964	0.06515631524236508	1.3435221416034704	1.3465893642348663
